SURVEY_YEAR,NAME,MEASURE_NAME,COL_START_DATE,COL_END_DATE,RATE,TOTAL,MEASURE_DESCRIPTION,time,CYCLE,state
2024,Arizona,DISPLACEDTIME,"January 9, 2024","February 5, 2024",100.0,19313,Adults in households who were displaced from their homes for at least one month because of a natural disaster in the past year,2024,01,04
2024,Arizona,EMOTIONAL,"January 9, 2024","February 5, 2024",80.2,3997927,"Adults who reported getting social and emotional support they need sometimes, usually, or always.",2024,01,04
2024,Arizona,ENERGYBILL,"January 9, 2024","February 5, 2024",21.6,1000614,Adults in households that were unable to pay an energy bill in full in the last 12 months,2024,01,04
2024,Arizona,EVICTFOR,"January 9, 2024","February 5, 2024",28.8,81376,Adults in households not current on rent or mortgage where eviction or foreclosure in the next two months is either very likely or somewhat likely,2024,01,04
2024,Arizona,EXPENSE,"January 9, 2024","February 5, 2024",34.8,1687127,Adults in households where it has been somewhat or very difficult to pay for usual household expenses in the last 7 days,2024,01,04
2024,Arizona,FOODFORCHLD1,"January 9, 2024","February 5, 2024",31.9,526670,Adults in households where children currently receive food assistance,2024,01,04
2024,Arizona,FOODSCARCE,"January 9, 2024","February 5, 2024",9.2,444025,Adults in households where there was either sometimes or often not enough to eat in the last 7 days,2024,01,04
2024,Arizona,GASIMPACT,"January 9, 2024","February 5, 2024",52.5,2395688,Adults who changed driving behavior in the last 7 days due to the cost of gas,2024,01,04
2024,Arizona,LONELY,"January 9, 2024","February 5, 2024",40.7,2028269,"Adults who reported feeling lonely sometimes, usually, or always.",2024,01,04
2024,Arizona,LONGCOVID_1,"January 9, 2024","February 5, 2024",29.8,788992,"Adults who previously had COVID-19, with symptoms lasting 3 months or longer",2024,01,04
2024,Arizona,PRICEINCR,"January 9, 2024","February 5, 2024",81.3,3984423,Adults who think prices have increased in the area where they live and shop in the last two months,2024,01,04
2024,Arizona,PRICEWORRY,"January 9, 2024","February 5, 2024",80.5,3910329,Adults who are somewhat or very concerned that prices will increase in the next six months,2024,01,04
2024,Arkansas,DISPLACED,"January 9, 2024","February 5, 2024",1.4,27357,Adults in households who were displaced from their homes because of a natural disaster in the past year,2024,01,05
2024,Arkansas,DISPLACEDTIME,"January 9, 2024","February 5, 2024",25.5,6987,Adults in households who were displaced from their homes for at least one month because of a natural disaster in the past year,2024,01,05
2024,Arkansas,EMOTIONAL,"January 9, 2024","February 5, 2024",79.8,1614680,"Adults who reported getting social and emotional support they need sometimes, usually, or always.",2024,01,05
2024,Arkansas,ENERGYBILL,"January 9, 2024","February 5, 2024",22.8,431672,Adults in households that were unable to pay an energy bill in full in the last 12 months,2024,01,05
2024,Arkansas,EVICTFOR,"January 9, 2024","February 5, 2024",30.2,38974,Adults in households not current on rent or mortgage where eviction or foreclosure in the next two months is either very likely or somewhat likely,2024,01,05
2024,Arkansas,EXPENSE,"January 9, 2024","February 5, 2024",38.4,758299,Adults in households where it has been somewhat or very difficult to pay for usual household expenses in the last 7 days,2024,01,05
2024,Arkansas,FOODFORCHLD1,"January 9, 2024","February 5, 2024",37.9,283298,Adults in households where children currently receive food assistance,2024,01,05
2024,Arkansas,FOODSCARCE,"January 9, 2024","February 5, 2024",11.2,217564,Adults in households where there was either sometimes or often not enough to eat in the last 7 days,2024,01,05
2024,Arkansas,GASIMPACT,"January 9, 2024","February 5, 2024",53.7,1015775,Adults who changed driving behavior in the last 7 days due to the cost of gas,2024,01,05
2024,Arkansas,LONELY,"January 9, 2024","February 5, 2024",43.0,870089,"Adults who reported feeling lonely sometimes, usually, or always.",2024,01,05
2024,Arkansas,LONGCOVID_1,"January 9, 2024","February 5, 2024",39.6,403570,"Adults who previously had COVID-19, with symptoms lasting 3 months or longer",2024,01,05
2024,Arkansas,PRICEINCR,"January 9, 2024","February 5, 2024",83.7,1649621,Adults who think prices have increased in the area where they live and shop in the last two months,2024,01,05
2024,Arkansas,PRICEWORRY,"January 9, 2024","February 5, 2024",82.7,1627519,Adults who are somewhat or very concerned that prices will increase in the next six months,2024,01,05
2024,California,DISPLACED,"January 9, 2024","February 5, 2024",0.8,192938,Adults in households who were displaced from their homes because of a natural disaster in the past year,2024,01,06
2024,California,DISPLACEDTIME,"January 9, 2024","February 5, 2024",40.4,76355,Adults in households who were displaced from their homes for at least one month because of a natural disaster in the past year,2024,01,06
2024,California,EMOTIONAL,"January 9, 2024","February 5, 2024",78.1,20664779,"Adults who reported getting social and emotional support they need sometimes, usually, or always.",2024,01,06
2024,California,ENERGYBILL,"January 9, 2024","February 5, 2024",26.2,6420373,Adults in households that were unable to pay an energy bill in full in the last 12 months,2024,01,06
2024,California,EVICTFOR,"January 9, 2024","February 5, 2024",23.6,391416,Adults in households not current on rent or mortgage where eviction or foreclosure in the next two months is either very likely or somewhat likely,2024,01,06
2024,California,EXPENSE,"January 9, 2024","February 5, 2024",39.8,10266910,Adults in households where it has been somewhat or very difficult to pay for usual household expenses in the last 7 days,2024,01,06
2024,California,FOODFORCHLD1,"January 9, 2024","February 5, 2024",59.2,5384744,Adults in households where children currently receive food assistance,2024,01,06
2024,California,FOODSCARCE,"January 9, 2024","February 5, 2024",12.7,3235056,Adults in households where there was either sometimes or often not enough to eat in the last 7 days,2024,01,06
2024,California,GASIMPACT,"January 9, 2024","February 5, 2024",56.2,13606230,Adults who changed driving behavior in the last 7 days due to the cost of gas,2024,01,06
2024,California,LONELY,"January 9, 2024","February 5, 2024",43.0,11376789,"Adults who reported feeling lonely sometimes, usually, or always.",2024,01,06
2024,California,LONGCOVID_1,"January 9, 2024","February 5, 2024",29.2,4128345,"Adults who previously had COVID-19, with symptoms lasting 3 months or longer",2024,01,06
2024,California,PRICEINCR,"January 9, 2024","February 5, 2024",82.9,21552252,Adults who think prices have increased in the area where they live and shop in the last two months,2024,01,06
2024,California,PRICEWORRY,"January 9, 2024","February 5, 2024",78.8,20406220,Adults who are somewhat or very concerned that prices will increase in the next six months,2024,01,06
2024,Colorado,DISPLACED,"January 9, 2024","February 5, 2024",0.8,30918,Adults in households who were displaced from their homes because of a natural disaster in the past year,2024,01,08
2024,Colorado,DISPLACEDTIME,"January 9, 2024","February 5, 2024",28.9,8929,Adults in households who were displaced from their homes for at least one month because of a natural disaster in the past year,2024,01,08
2024,Colorado,EMOTIONAL,"January 9, 2024","February 5, 2024",83.9,3477194,"Adults who reported getting social and emotional support they need sometimes, usually, or always.",2024,01,08
2024,Colorado,ENERGYBILL,"January 9, 2024","February 5, 2024",17.7,702840,Adults in households that were unable to pay an energy bill in full in the last 12 months,2024,01,08
2024,Colorado,EVICTFOR,"January 9, 2024","February 5, 2024",36.9,69871,Adults in households not current on rent or mortgage where eviction or foreclosure in the next two months is either very likely or somewhat likely,2024,01,08
2024,Colorado,EXPENSE,"January 9, 2024","February 5, 2024",33.9,1389808,Adults in households where it has been somewhat or very difficult to pay for usual household expenses in the last 7 days,2024,01,08
2024,Colorado,FOODFORCHLD1,"January 9, 2024","February 5, 2024",54.0,753882,Adults in households where children currently receive food assistance,2024,01,08
2024,Colorado,FOODSCARCE,"January 9, 2024","February 5, 2024",9.2,377738,Adults in households where there was either sometimes or often not enough to eat in the last 7 days,2024,01,08
2024,Colorado,GASIMPACT,"January 9, 2024","February 5, 2024",43.7,1735546,Adults who changed driving behavior in the last 7 days due to the cost of gas,2024,01,08
2024,Colorado,LONELY,"January 9, 2024","February 5, 2024",41.9,1744711,"Adults who reported feeling lonely sometimes, usually, or always.",2024,01,08
2024,Colorado,LONGCOVID_1,"January 9, 2024","February 5, 2024",27.8,638925,"Adults who previously had COVID-19, with symptoms lasting 3 months or longer",2024,01,08
2024,Colorado,PRICEINCR,"January 9, 2024","February 5, 2024",77.7,3180654,Adults who think prices have increased in the area where they live and shop in the last two months,2024,01,08
2024,Colorado,PRICEWORRY,"January 9, 2024","February 5, 2024",74.5,3055349,Adults who are somewhat or very concerned that prices will increase in the next six months,2024,01,08
2024,Connecticut,DISPLACED,"January 9, 2024","February 5, 2024",0.3,8001,Adults in households who were displaced from their homes because of a natural disaster in the past year,2024,01,09
2024,Connecticut,DISPLACEDTIME,"January 9, 2024","February 5, 2024",19.2,1004,Adults in households who were displaced from their homes for at least one month because of a natural disaster in the past year,2024,01,09
2024,Connecticut,EMOTIONAL,"January 9, 2024","February 5, 2024",81.3,2034134,"Adults who reported getting social and emotional support they need sometimes, usually, or always.",2024,01,09
2024,Connecticut,ENERGYBILL,"January 9, 2024","February 5, 2024",25.5,601113,Adults in households that were unable to pay an energy bill in full in the last 12 months,2024,01,09
2024,Connecticut,EVICTFOR,"January 9, 2024","February 5, 2024",25.0,32315,Adults in households not current on rent or mortgage where eviction or foreclosure in the next two months is either very likely or somewhat likely,2024,01,09
2024,Connecticut,EXPENSE,"January 9, 2024","February 5, 2024",36.7,893537,Adults in households where it has been somewhat or very difficult to pay for usual household expenses in the last 7 days,2024,01,09
2024,Connecticut,FOODFORCHLD1,"January 9, 2024","February 5, 2024",43.8,375121,Adults in households where children currently receive food assistance,2024,01,09
2024,Connecticut,FOODSCARCE,"January 9, 2024","February 5, 2024",12.1,294475,Adults in households where there was either sometimes or often not enough to eat in the last 7 days,2024,01,09
2024,Connecticut,GASIMPACT,"January 9, 2024","February 5, 2024",44.7,1042770,Adults who changed driving behavior in the last 7 days due to the cost of gas,2024,01,09
2024,Connecticut,LONELY,"January 9, 2024","February 5, 2024",43.9,1100921,"Adults who reported feeling lonely sometimes, usually, or always.",2024,01,09
2024,Connecticut,LONGCOVID_1,"January 9, 2024","February 5, 2024",28.9,376646,"Adults who previously had COVID-19, with symptoms lasting 3 months or longer",2024,01,09
2024,Connecticut,PRICEINCR,"January 9, 2024","February 5, 2024",78.4,1926059,Adults who think prices have increased in the area where they live and shop in the last two months,2024,01,09
2024,Connecticut,PRICEWORRY,"January 9, 2024","February 5, 2024",74.7,1827811,Adults who are somewhat or very concerned that prices will increase in the next six months,2024,01,09
2024,Delaware,DISPLACED,"January 9, 2024","February 5, 2024",0.5,3274,Adults in households who were displaced from their homes because of a natural disaster in the past year,2024,01,10
2024,Delaware,DISPLACEDTIME,"January 9, 2024","February 5, 2024",82.5,2701,Adults in households who were displaced from their homes for at least one month because of a natural disaster in the past year,2024,01,10
2024,Delaware,EMOTIONAL,"January 9, 2024","February 5, 2024",83.3,610274,"Adults who reported getting social and emotional support they need sometimes, usually, or always.",2024,01,10
2024,Delaware,ENERGYBILL,"January 9, 2024","February 5, 2024",21.0,145504,Adults in households that were unable to pay an energy bill in full in the last 12 months,2024,01,10
2024,Delaware,EVICTFOR,"January 9, 2024","February 5, 2024",27.6,8532,Adults in households not current on rent or mortgage where eviction or foreclosure in the next two months is either very likely or somewhat likely,2024,01,10
2024,Delaware,EXPENSE,"January 9, 2024","February 5, 2024",28.7,207186,Adults in households where it has been somewhat or very difficult to pay for usual household expenses in the last 7 days,2024,01,10
2024,Delaware,FOODFORCHLD1,"January 9, 2024","February 5, 2024",32.4,91500,Adults in households where children currently receive food assistance,2024,01,10
2024,Delaware,FOODSCARCE,"January 9, 2024","February 5, 2024",12.0,85826,Adults in households where there was either sometimes or often not enough to eat in the last 7 days,2024,01,10
2024,Delaware,GASIMPACT,"January 9, 2024","February 5, 2024",46.9,325117,Adults who changed driving behavior in the last 7 days due to the cost of gas,2024,01,10
2024,Delaware,LONELY,"January 9, 2024","February 5, 2024",32.4,237753,"Adults who reported feeling lonely sometimes, usually, or always.",2024,01,10
2024,Delaware,LONGCOVID_1,"January 9, 2024","February 5, 2024",26.9,101870,"Adults who previously had COVID-19, with symptoms lasting 3 months or longer",2024,01,10
2024,Delaware,PRICEINCR,"January 9, 2024","February 5, 2024",78.9,571832,Adults who think prices have increased in the area where they live and shop in the last two months,2024,01,10
2024,Delaware,PRICEWORRY,"January 9, 2024","February 5, 2024",71.6,517568,Adults who are somewhat or very concerned that prices will increase in the next six months,2024,01,10
2024,District of Columbia,DISPLACED,"January 9, 2024","February 5, 2024",0.2,747,Adults in households who were displaced from their homes because of a natural disaster in the past year,2024,01,11
2024,District of Columbia,DISPLACEDTIME,"January 9, 2024","February 5, 2024",,,Adults in households who were displaced from their homes for at least one month because of a natural disaster in the past year,2024,01,11
2024,District of Columbia,EMOTIONAL,"January 9, 2024","February 5, 2024",86.5,421994,"Adults who reported getting social and emotional support they need sometimes, usually, or always.",2024,01,11
2024,District of Columbia,ENERGYBILL,"January 9, 2024","February 5, 2024",15.3,70007,Adults in households that were unable to pay an energy bill in full in the last 12 months,2024,01,11
2024,District of Columbia,EVICTFOR,"January 9, 2024","February 5, 2024",46.9,19518,Adults in households not current on rent or mortgage where eviction or foreclosure in the next two months is either very likely or somewhat likely,2024,01,11
2024,District of Columbia,EXPENSE,"January 9, 2024","February 5, 2024",20.6,97124,Adults in households where it has been somewhat or very difficult to pay for usual household expenses in the last 7 days,2024,01,11
2024,District of Columbia,FOODFORCHLD1,"January 9, 2024","February 5, 2024",39.9,41417,Adults in households where children currently receive food assistance,2024,01,11
2024,District of Columbia,FOODSCARCE,"January 9, 2024","February 5, 2024",7.1,33074,Adults in households where there was either sometimes or often not enough to eat in the last 7 days,2024,01,11
2024,District of Columbia,GASIMPACT,"January 9, 2024","February 5, 2024",28.8,130479,Adults who changed driving behavior in the last 7 days due to the cost of gas,2024,01,11
2024,District of Columbia,LONELY,"January 9, 2024","February 5, 2024",51.4,251468,"Adults who reported feeling lonely sometimes, usually, or always.",2024,01,11
2024,District of Columbia,LONGCOVID_1,"January 9, 2024","February 5, 2024",19.7,55815,"Adults who previously had COVID-19, with symptoms lasting 3 months or longer",2024,01,11
2024,District of Columbia,PRICEINCR,"January 9, 2024","February 5, 2024",64.3,302367,Adults who think prices have increased in the area where they live and shop in the last two months,2024,01,11
2024,District of Columbia,PRICEWORRY,"January 9, 2024","February 5, 2024",56.4,265463,Adults who are somewhat or very concerned that prices will increase in the next six months,2024,01,11
2024,Florida,DISPLACED,"January 9, 2024","February 5, 2024",3.8,592588,Adults in households who were displaced from their homes because of a natural disaster in the past year,2024,01,12
2024,Florida,DISPLACEDTIME,"January 9, 2024","February 5, 2024",60.0,355700,Adults in households who were displaced from their homes for at least one month because of a natural disaster in the past year,2024,01,12
2024,Florida,EMOTIONAL,"January 9, 2024","February 5, 2024",80.5,12953140,"Adults who reported getting social and emotional support they need sometimes, usually, or always.",2024,01,12
2024,Florida,ENERGYBILL,"January 9, 2024","February 5, 2024",22.2,3371814,Adults in households that were unable to pay an energy bill in full in the last 12 months,2024,01,12
2024,Florida,EVICTFOR,"January 9, 2024","February 5, 2024",43.2,317048,Adults in households not current on rent or mortgage where eviction or foreclosure in the next two months is either very likely or somewhat likely,2024,01,12
2024,Florida,EXPENSE,"January 9, 2024","February 5, 2024",36.5,5724577,Adults in households where it has been somewhat or very difficult to pay for usual household expenses in the last 7 days,2024,01,12
2024,Florida,FOODFORCHLD1,"January 9, 2024","February 5, 2024",48.2,2255653,Adults in households where children currently receive food assistance,2024,01,12
2024,Florida,FOODSCARCE,"January 9, 2024","February 5, 2024",10.8,1691487,Adults in households where there was either sometimes or often not enough to eat in the last 7 days,2024,01,12
2024,Florida,GASIMPACT,"January 9, 2024","February 5, 2024",48.5,7337861,Adults who changed driving behavior in the last 7 days due to the cost of gas,2024,01,12
2024,Florida,LONELY,"January 9, 2024","February 5, 2024",39.6,6354162,"Adults who reported feeling lonely sometimes, usually, or always.",2024,01,12
2024,Florida,LONGCOVID_1,"January 9, 2024","February 5, 2024",29.5,2452044,"Adults who previously had COVID-19, with symptoms lasting 3 months or longer",2024,01,12
2024,Florida,PRICEINCR,"January 9, 2024","February 5, 2024",81.2,12904339,Adults who think prices have increased in the area where they live and shop in the last two months,2024,01,12
2024,Florida,PRICEWORRY,"January 9, 2024","February 5, 2024",79.5,12484928,Adults who are somewhat or very concerned that prices will increase in the next six months,2024,01,12
2024,Georgia,DISPLACED,"January 9, 2024","February 5, 2024",0.5,35005,Adults in households who were displaced from their homes because of a natural disaster in the past year,2024,01,13
2024,Georgia,DISPLACEDTIME,"January 9, 2024","February 5, 2024",12.5,3190,Adults in households who were displaced from their homes for at least one month because of a natural disaster in the past year,2024,01,13
2024,Georgia,EMOTIONAL,"January 9, 2024","February 5, 2024",79.0,5708994,"Adults who reported getting social and emotional support they need sometimes, usually, or always.",2024,01,13
2024,Georgia,ENERGYBILL,"January 9, 2024","February 5, 2024",22.6,1513941,Adults in households that were unable to pay an energy bill in full in the last 12 months,2024,01,13
2024,Georgia,EVICTFOR,"January 9, 2024","February 5, 2024",32.5,136910,Adults in households not current on rent or mortgage where eviction or foreclosure in the next two months is either very likely or somewhat likely,2024,01,13
2024,Georgia,EXPENSE,"January 9, 2024","February 5, 2024",36.4,2573033,Adults in households where it has been somewhat or very difficult to pay for usual household expenses in the last 7 days,2024,01,13
2024,Georgia,FOODFORCHLD1,"January 9, 2024","February 5, 2024",36.8,997699,Adults in households where children currently receive food assistance,2024,01,13
2024,Georgia,FOODSCARCE,"January 9, 2024","February 5, 2024",10.4,732726,Adults in households where there was either sometimes or often not enough to eat in the last 7 days,2024,01,13
2024,Georgia,GASIMPACT,"January 9, 2024","February 5, 2024",49.9,3310029,Adults who changed driving behavior in the last 7 days due to the cost of gas,2024,01,13
2024,Georgia,LONELY,"January 9, 2024","February 5, 2024",40.5,2923772,"Adults who reported feeling lonely sometimes, usually, or always.",2024,01,13
2024,Georgia,LONGCOVID_1,"January 9, 2024","February 5, 2024",30.9,1138772,"Adults who previously had COVID-19, with symptoms lasting 3 months or longer",2024,01,13
2024,Georgia,PRICEINCR,"January 9, 2024","February 5, 2024",81.4,5792940,Adults who think prices have increased in the area where they live and shop in the last two months,2024,01,13
2024,Georgia,PRICEWORRY,"January 9, 2024","February 5, 2024",79.7,5611878,Adults who are somewhat or very concerned that prices will increase in the next six months,2024,01,13
2024,Hawaii,DISPLACED,"January 9, 2024","February 5, 2024",4.8,46634,Adults in households who were displaced from their homes because of a natural disaster in the past year,2024,01,15
2024,Hawaii,DISPLACEDTIME,"January 9, 2024","February 5, 2024",88.1,24954,Adults in households who were displaced from their homes for at least one month because of a natural disaster in the past year,2024,01,15
2024,Hawaii,EMOTIONAL,"January 9, 2024","February 5, 2024",76.6,751499,"Adults who reported getting social and emotional support they need sometimes, usually, or always.",2024,01,15
2024,Hawaii,ENERGYBILL,"January 9, 2024","February 5, 2024",15.8,145129,Adults in households that were unable to pay an energy bill in full in the last 12 months,2024,01,15
2024,Hawaii,EVICTFOR,"January 9, 2024","February 5, 2024",13.6,9156,Adults in households not current on rent or mortgage where eviction or foreclosure in the next two months is either very likely or somewhat likely,2024,01,15
2024,Hawaii,EXPENSE,"January 9, 2024","February 5, 2024",34.4,335228,Adults in households where it has been somewhat or very difficult to pay for usual household expenses in the last 7 days,2024,01,15
2024,Hawaii,FOODFORCHLD1,"January 9, 2024","February 5, 2024",28.3,94510,Adults in households where children currently receive food assistance,2024,01,15
2024,Hawaii,FOODSCARCE,"January 9, 2024","February 5, 2024",8.5,82719,Adults in households where there was either sometimes or often not enough to eat in the last 7 days,2024,01,15
2024,Hawaii,GASIMPACT,"January 9, 2024","February 5, 2024",46.1,422165,Adults who changed driving behavior in the last 7 days due to the cost of gas,2024,01,15
2024,Hawaii,LONELY,"January 9, 2024","February 5, 2024",36.3,356072,"Adults who reported feeling lonely sometimes, usually, or always.",2024,01,15
2024,Hawaii,LONGCOVID_1,"January 9, 2024","February 5, 2024",19.6,95701,"Adults who previously had COVID-19, with symptoms lasting 3 months or longer",2024,01,15
2024,Hawaii,PRICEINCR,"January 9, 2024","February 5, 2024",83.3,812265,Adults who think prices have increased in the area where they live and shop in the last two months,2024,01,15
2024,Hawaii,PRICEWORRY,"January 9, 2024","February 5, 2024",77.9,753569,Adults who are somewhat or very concerned that prices will increase in the next six months,2024,01,15
2024,Idaho,DISPLACED,"January 9, 2024","February 5, 2024",0.9,11079,Adults in households who were displaced from their homes because of a natural disaster in the past year,2024,01,16
2024,Idaho,DISPLACEDTIME,"January 9, 2024","February 5, 2024",6.1,618,Adults in households who were displaced from their homes for at least one month because of a natural disaster in the past year,2024,01,16
2024,Idaho,EMOTIONAL,"January 9, 2024","February 5, 2024",85.3,1136515,"Adults who reported getting social and emotional support they need sometimes, usually, or always.",2024,01,16
2024,Idaho,ENERGYBILL,"January 9, 2024","February 5, 2024",19.7,247440,Adults in households that were unable to pay an energy bill in full in the last 12 months,2024,01,16
2024,Idaho,EVICTFOR,"January 9, 2024","February 5, 2024",41.5,25483,Adults in households not current on rent or mortgage where eviction or foreclosure in the next two months is either very likely or somewhat likely,2024,01,16
2024,Idaho,EXPENSE,"January 9, 2024","February 5, 2024",35.4,459810,Adults in households where it has been somewhat or very difficult to pay for usual household expenses in the last 7 days,2024,01,16
2024,Idaho,FOODFORCHLD1,"January 9, 2024","February 5, 2024",22.9,110827,Adults in households where children currently receive food assistance,2024,01,16
2024,Idaho,FOODSCARCE,"January 9, 2024","February 5, 2024",9.7,125067,Adults in households where there was either sometimes or often not enough to eat in the last 7 days,2024,01,16
2024,Idaho,GASIMPACT,"January 9, 2024","February 5, 2024",52.6,660263,Adults who changed driving behavior in the last 7 days due to the cost of gas,2024,01,16
2024,Idaho,LONELY,"January 9, 2024","February 5, 2024",40.9,540817,"Adults who reported feeling lonely sometimes, usually, or always.",2024,01,16
2024,Idaho,LONGCOVID_1,"January 9, 2024","February 5, 2024",33.7,234058,"Adults who previously had COVID-19, with symptoms lasting 3 months or longer",2024,01,16
2024,Idaho,PRICEINCR,"January 9, 2024","February 5, 2024",78.1,1025402,Adults who think prices have increased in the area where they live and shop in the last two months,2024,01,16
2024,Idaho,PRICEWORRY,"January 9, 2024","February 5, 2024",79.3,1035388,Adults who are somewhat or very concerned that prices will increase in the next six months,2024,01,16
2024,Illinois,DISPLACED,"January 9, 2024","February 5, 2024",1.1,84420,Adults in households who were displaced from their homes because of a natural disaster in the past year,2024,01,17
2024,Illinois,DISPLACEDTIME,"January 9, 2024","February 5, 2024",52.3,39855,Adults in households who were displaced from their homes for at least one month because of a natural disaster in the past year,2024,01,17
2024,Illinois,EMOTIONAL,"January 9, 2024","February 5, 2024",80.1,6604047,"Adults who reported getting social and emotional support they need sometimes, usually, or always.",2024,01,17
2024,Illinois,ENERGYBILL,"January 9, 2024","February 5, 2024",21.1,1612384,Adults in households that were unable to pay an energy bill in full in the last 12 months,2024,01,17
2024,Illinois,EVICTFOR,"January 9, 2024","February 5, 2024",26.0,78977,Adults in households not current on rent or mortgage where eviction or foreclosure in the next two months is either very likely or somewhat likely,2024,01,17
2024,Illinois,EXPENSE,"January 9, 2024","February 5, 2024",31.2,2479230,Adults in households where it has been somewhat or very difficult to pay for usual household expenses in the last 7 days,2024,01,17
2024,Illinois,FOODFORCHLD1,"January 9, 2024","February 5, 2024",37.7,989955,Adults in households where children currently receive food assistance,2024,01,17
2024,Illinois,FOODSCARCE,"January 9, 2024","February 5, 2024",9.0,711089,Adults in households where there was either sometimes or often not enough to eat in the last 7 days,2024,01,17
2024,Illinois,GASIMPACT,"January 9, 2024","February 5, 2024",45.1,3386839,Adults who changed driving behavior in the last 7 days due to the cost of gas,2024,01,17
2024,Illinois,LONELY,"January 9, 2024","February 5, 2024",38.3,3166083,"Adults who reported feeling lonely sometimes, usually, or always.",2024,01,17
2024,Illinois,LONGCOVID_1,"January 9, 2024","February 5, 2024",31.5,1297845,"Adults who previously had COVID-19, with symptoms lasting 3 months or longer",2024,01,17
