data_type_code,time_slot_id,seasonally_adj,category_code,cell_value,error_data,time,us,series_name,plot_groupings
OCCUSE,0,no,ESTIMATE,1728,no,2000-Q4,1,Held Off the Market and for Occasional Use,Vacant Inventory
OFFMAR,0,no,ESTIMATE,5491,no,2000-Q2,1,Held Off the Market Vacant Housing Units,Vacant Inventory
OFFMAR,0,no,ESTIMATE,5135,no,2000-Q3,1,Held Off the Market Vacant Housing Units,Vacant Inventory
OFFMAR,0,no,ESTIMATE,5139,no,2000-Q4,1,Held Off the Market Vacant Housing Units,Vacant Inventory
OTH,0,no,ESTIMATE,2408,no,2000-Q2,1,Held off the Market and Vacant for Other Reasons Vacant Housing Units,Vacant Inventory
OTH,0,no,ESTIMATE,2317,no,2000-Q3,1,Held off the Market and Vacant for Other Reasons Vacant Housing Units,Vacant Inventory
OTH,0,no,ESTIMATE,2434,no,2000-Q4,1,Held off the Market and Vacant for Other Reasons Vacant Housing Units,Vacant Inventory
OWNOCC,0,no,ESTIMATE,68752,no,2000-Q2,1,Owner Occupied Units,Occupied Inventory
OWNOCC,0,no,ESTIMATE,69695,no,2000-Q3,1,Owner Occupied Units,Occupied Inventory
OWNOCC,0,no,ESTIMATE,70010,no,2000-Q4,1,Owner Occupied Units,Occupied Inventory
RENT,0,no,ESTIMATE,2951,no,2000-Q2,1,Vacant Housing Units For Rent,Vacant Inventory
RENT,0,no,ESTIMATE,3009,no,2000-Q3,1,Vacant Housing Units For Rent,Vacant Inventory
RENT,0,no,ESTIMATE,2887,no,2000-Q4,1,Vacant Housing Units For Rent,Vacant Inventory
RNTOCC,0,no,ESTIMATE,33522,no,2000-Q2,1,Renter Occupied Units,Occupied Inventory
RNTOCC,0,no,ESTIMATE,33201,no,2000-Q3,1,Renter Occupied Units,Occupied Inventory
RNTOCC,0,no,ESTIMATE,33635,no,2000-Q4,1,Renter Occupied Units,Occupied Inventory
RNTSLD,0,no,ESTIMATE,869,no,2000-Q2,1,"Rented or Sold, Not Yet Occupied Vacant Housing Units",Vacant Inventory
RNTSLD,0,no,ESTIMATE,1001,no,2000-Q3,1,"Rented or Sold, Not Yet Occupied Vacant Housing Units",Vacant Inventory
RNTSLD,0,no,ESTIMATE,730,no,2000-Q4,1,"Rented or Sold, Not Yet Occupied Vacant Housing Units",Vacant Inventory
SALE,0,no,ESTIMATE,1144,no,2000-Q3,1,Vacant Housing Units For Sale,Vacant Inventory
SALE,0,no,ESTIMATE,1154,no,2000-Q4,1,Vacant Housing Units For Sale,Vacant Inventory
SEASON,0,no,ESTIMATE,3432,no,2000-Q2,1,Seasonal Vacant Housing Units,Vacant Inventory
SEASON,0,no,ESTIMATE,3296,no,2000-Q3,1,Seasonal Vacant Housing Units,Vacant Inventory
SEASON,0,no,ESTIMATE,3358,no,2000-Q4,1,Seasonal Vacant Housing Units,Vacant Inventory
TOTAL,0,no,ESTIMATE,116047,no,2000-Q2,1,Total Housing Units,Total Housing Units
TOTAL,0,no,ESTIMATE,116482,no,2000-Q3,1,Total Housing Units,Total Housing Units
TOTAL,0,no,ESTIMATE,116914,no,2000-Q4,1,Total Housing Units,Total Housing Units
URE,0,no,ESTIMATE,1137,no,2000-Q2,1,Vacant Housing Units Held off the Market and Usual Residence Elsewhere,Vacant Inventory
URE,0,no,ESTIMATE,962,no,2000-Q3,1,Vacant Housing Units Held off the Market and Usual Residence Elsewhere,Vacant Inventory
URE,0,no,ESTIMATE,977,no,2000-Q4,1,Vacant Housing Units Held off the Market and Usual Residence Elsewhere,Vacant Inventory
VACANT,0,no,ESTIMATE,13773,no,2000-Q2,1,Total Vacant Housing Units,Total Housing Units
VACANT,0,no,ESTIMATE,13586,no,2000-Q3,1,Total Vacant Housing Units,Total Housing Units
VACANT,0,no,ESTIMATE,13268,no,2000-Q4,1,Total Vacant Housing Units,Total Housing Units
YRVAC,0,no,ESTIMATE,10341,no,2000-Q2,1,Year-Round Vacant Housing Units,Vacant Inventory
YRVAC,0,no,ESTIMATE,10290,no,2000-Q3,1,Year-Round Vacant Housing Units,Vacant Inventory
YRVAC,0,no,ESTIMATE,9910,no,2000-Q4,1,Year-Round Vacant Housing Units,Vacant Inventory
HOR,0,no,RATE,67.1,no,2000-Q1,1,Homeownership Rate,Rates
HOR,0,no,RATE,67.2,no,2000-Q2,1,Homeownership Rate,Rates
HOR,0,no,RATE,67.7,no,2000-Q3,1,Homeownership Rate,Rates
HOR,0,no,RATE,67.5,no,2000-Q4,1,Homeownership Rate,Rates
E_HOR,0,no,RATE,0.3,yes,2000-Q2,1,Error Homeownership Rate,Error
E_HOR,0,no,RATE,0.3,yes,2000-Q3,1,Error Homeownership Rate,Error
E_HOR,0,no,RATE,0.3,yes,2000-Q4,1,Error Homeownership Rate,Error
HVR,0,no,RATE,1.6,no,2000-Q1,1,Homeowner Vacancy Rate,Rates
HVR,0,no,RATE,1.5,no,2000-Q2,1,Homeowner Vacancy Rate,Rates
HVR,0,no,RATE,1.6,no,2000-Q3,1,Homeowner Vacancy Rate,Rates
HVR,0,no,RATE,1.6,no,2000-Q4,1,Homeowner Vacancy Rate,Rates
E_HVR,0,no,RATE,0.1,yes,2000-Q1,1,Error Homeowner Vacancy Rate,Error
E_HVR,0,no,RATE,0.1,yes,2000-Q3,1,Error Homeowner Vacancy Rate,Error
E_HVR,0,no,RATE,0.1,yes,2000-Q4,1,Error Homeowner Vacancy Rate,Error
E_HVR,0,no,RATE,0.1,yes,2001-Q4,1,Error Homeowner Vacancy Rate,Error
RENT,0,no,ESTIMATE,3243,no,2001-Q4,1,Vacant Housing Units For Rent,Vacant Inventory
RNTOCC,0,no,ESTIMATE,33552,no,2001-Q1,1,Renter Occupied Units,Occupied Inventory
RNTSLD,0,no,ESTIMATE,993,no,2001-Q2,1,"Rented or Sold, Not Yet Occupied Vacant Housing Units",Vacant Inventory
RNTSLD,0,no,ESTIMATE,944,no,2001-Q3,1,"Rented or Sold, Not Yet Occupied Vacant Housing Units",Vacant Inventory
RNTSLD,0,no,ESTIMATE,723,no,2001-Q4,1,"Rented or Sold, Not Yet Occupied Vacant Housing Units",Vacant Inventory
SALE,0,no,ESTIMATE,1104,no,2001-Q1,1,Vacant Housing Units For Sale,Vacant Inventory
SALE,0,no,ESTIMATE,1258,no,2001-Q2,1,Vacant Housing Units For Sale,Vacant Inventory
SALE,0,no,ESTIMATE,1375,no,2001-Q3,1,Vacant Housing Units For Sale,Vacant Inventory
SALE,0,no,ESTIMATE,1315,no,2001-Q4,1,Vacant Housing Units For Sale,Vacant Inventory
SEASON,0,no,ESTIMATE,3433,no,2001-Q1,1,Seasonal Vacant Housing Units,Vacant Inventory
SEASON,0,no,ESTIMATE,3652,no,2001-Q2,1,Seasonal Vacant Housing Units,Vacant Inventory
SEASON,0,no,ESTIMATE,3410,no,2001-Q3,1,Seasonal Vacant Housing Units,Vacant Inventory
SEASON,0,no,ESTIMATE,3328,no,2001-Q4,1,Seasonal Vacant Housing Units,Vacant Inventory
TOTAL,0,no,ESTIMATE,117347,no,2001-Q1,1,Total Housing Units,Total Housing Units
TOTAL,0,no,ESTIMATE,117786,no,2001-Q2,1,Total Housing Units,Total Housing Units
TOTAL,0,no,ESTIMATE,118216,no,2001-Q3,1,Total Housing Units,Total Housing Units
TOTAL,0,no,ESTIMATE,118635,no,2001-Q4,1,Total Housing Units,Total Housing Units
RNTSLD,0,no,ESTIMATE,769,no,2001-Q1,1,"Rented or Sold, Not Yet Occupied Vacant Housing Units",Vacant Inventory
URE,0,no,ESTIMATE,1127,no,2001-Q1,1,Vacant Housing Units Held off the Market and Usual Residence Elsewhere,Vacant Inventory
URE,0,no,ESTIMATE,1037,no,2001-Q2,1,Vacant Housing Units Held off the Market and Usual Residence Elsewhere,Vacant Inventory
URE,0,no,ESTIMATE,941,no,2001-Q3,1,Vacant Housing Units Held off the Market and Usual Residence Elsewhere,Vacant Inventory
URE,0,no,ESTIMATE,1030,no,2001-Q4,1,Vacant Housing Units Held off the Market and Usual Residence Elsewhere,Vacant Inventory
VACANT,0,no,ESTIMATE,13891,no,2001-Q1,1,Total Vacant Housing Units,Total Housing Units
VACANT,0,no,ESTIMATE,14375,no,2001-Q2,1,Total Vacant Housing Units,Total Housing Units
VACANT,0,no,ESTIMATE,13988,no,2001-Q3,1,Total Vacant Housing Units,Total Housing Units
VACANT,0,no,ESTIMATE,13937,no,2001-Q4,1,Total Vacant Housing Units,Total Housing Units
YRVAC,0,no,ESTIMATE,10458,no,2001-Q1,1,Year-Round Vacant Housing Units,Vacant Inventory
YRVAC,0,no,ESTIMATE,10722,no,2001-Q2,1,Year-Round Vacant Housing Units,Vacant Inventory
YRVAC,0,no,ESTIMATE,10578,no,2001-Q3,1,Year-Round Vacant Housing Units,Vacant Inventory
YRVAC,0,no,ESTIMATE,10609,no,2001-Q4,1,Year-Round Vacant Housing Units,Vacant Inventory
HOR,0,no,RATE,67.5,no,2001-Q1,1,Homeownership Rate,Rates
HOR,0,no,RATE,67.7,no,2001-Q2,1,Homeownership Rate,Rates
HOR,0,no,RATE,68.1,no,2001-Q3,1,Homeownership Rate,Rates
HOR,0,no,RATE,68.0,no,2001-Q4,1,Homeownership Rate,Rates
E_HOR,0,no,RATE,0.3,yes,2001-Q1,1,Error Homeownership Rate,Error
E_HOR,0,no,RATE,0.3,yes,2001-Q2,1,Error Homeownership Rate,Error
E_HOR,0,no,RATE,0.3,yes,2001-Q3,1,Error Homeownership Rate,Error
E_HOR,0,no,RATE,0.3,yes,2001-Q4,1,Error Homeownership Rate,Error
HVR,0,no,RATE,1.5,no,2001-Q1,1,Homeowner Vacancy Rate,Rates
HVR,0,no,RATE,1.8,no,2001-Q2,1,Homeowner Vacancy Rate,Rates
HVR,0,no,RATE,1.9,no,2001-Q3,1,Homeowner Vacancy Rate,Rates
HVR,0,no,RATE,1.8,no,2001-Q4,1,Homeowner Vacancy Rate,Rates
E_HVR,0,no,RATE,0.1,yes,2001-Q1,1,Error Homeowner Vacancy Rate,Error
E_HVR,0,no,RATE,0.1,yes,2001-Q2,1,Error Homeowner Vacancy Rate,Error
E_HVR,0,no,RATE,0.1,yes,2001-Q3,1,Error Homeowner Vacancy Rate,Error
RVR,0,no,RATE,8.2,no,2001-Q1,1,Rental Vacancy Rate,Rates
RVR,0,no,RATE,8.3,no,2001-Q2,1,Rental Vacancy Rate,Rates
OCC,0,no,ESTIMATE,103456,no,2001-Q1,1,Total Occupied housing Units,Total Housing Units
OCC,0,no,ESTIMATE,103411,no,2001-Q2,1,Total Occupied housing Units,Total Housing Units
OCC,0,no,ESTIMATE,104228,no,2001-Q3,1,Total Occupied housing Units,Total Housing Units
OCC,0,no,ESTIMATE,104698,no,2001-Q4,1,Total Occupied housing Units,Total Housing Units
RVR,0,no,RATE,8.4,no,2001-Q3,1,Rental Vacancy Rate,Rates
RVR,0,no,RATE,8.8,no,2001-Q4,1,Rental Vacancy Rate,Rates
E_RVR,0,no,RATE,0.2,yes,2001-Q1,1,Error Rental Vacancy Rate,Error
E_RVR,0,no,RATE,0.2,yes,2001-Q2,1,Error Rental Vacancy Rate,Error
E_RVR,0,no,RATE,0.2,yes,2001-Q3,1,Error Rental Vacancy Rate,Error
E_RVR,0,no,RATE,0.2,yes,2001-Q4,1,Error Rental Vacancy Rate,Error
SAHOR,0,yes,RATE,67.6,no,2001-Q1,1,Seasonal Adjusted Home Owner Rate,Rates
SAHOR,0,yes,RATE,67.8,no,2001-Q2,1,Seasonal Adjusted Home Owner Rate,Rates
SAHOR,0,yes,RATE,67.9,no,2001-Q3,1,Seasonal Adjusted Home Owner Rate,Rates
SAHOR,0,yes,RATE,67.9,no,2001-Q4,1,Seasonal Adjusted Home Owner Rate,Rates
OCCUSE,0,no,ESTIMATE,1786,no,2001-Q1,1,Held Off the Market and for Occasional Use,Vacant Inventory
OCCUSE,0,no,ESTIMATE,1827,no,2001-Q2,1,Held Off the Market and for Occasional Use,Vacant Inventory
OCCUSE,0,no,ESTIMATE,1849,no,2001-Q3,1,Held Off the Market and for Occasional Use,Vacant Inventory
OCCUSE,0,no,ESTIMATE,1842,no,2001-Q4,1,Held Off the Market and for Occasional Use,Vacant Inventory
OFFMAR,0,no,ESTIMATE,5554,no,2001-Q1,1,Held Off the Market Vacant Housing Units,Vacant Inventory
OFFMAR,0,no,ESTIMATE,5400,no,2001-Q2,1,Held Off the Market Vacant Housing Units,Vacant Inventory
OFFMAR,0,no,ESTIMATE,5176,no,2001-Q3,1,Held Off the Market Vacant Housing Units,Vacant Inventory
OFFMAR,0,no,ESTIMATE,5328,no,2001-Q4,1,Held Off the Market Vacant Housing Units,Vacant Inventory
OTH,0,no,ESTIMATE,2641,no,2001-Q1,1,Held off the Market and Vacant for Other Reasons Vacant Housing Units,Vacant Inventory
OTH,0,no,ESTIMATE,2536,no,2001-Q2,1,Held off the Market and Vacant for Other Reasons Vacant Housing Units,Vacant Inventory
OTH,0,no,ESTIMATE,2386,no,2001-Q3,1,Held off the Market and Vacant for Other Reasons Vacant Housing Units,Vacant Inventory
OTH,0,no,ESTIMATE,2455,no,2001-Q4,1,Held off the Market and Vacant for Other Reasons Vacant Housing Units,Vacant Inventory
OWNOCC,0,no,ESTIMATE,69904,no,2001-Q1,1,Owner Occupied Units,Occupied Inventory
OWNOCC,0,no,ESTIMATE,69981,no,2001-Q2,1,Owner Occupied Units,Occupied Inventory
OWNOCC,0,no,ESTIMATE,71004,no,2001-Q3,1,Owner Occupied Units,Occupied Inventory
OWNOCC,0,no,ESTIMATE,71230,no,2001-Q4,1,Owner Occupied Units,Occupied Inventory
RENT,0,no,ESTIMATE,3031,no,2001-Q1,1,Vacant Housing Units For Rent,Vacant Inventory
RENT,0,no,ESTIMATE,3071,no,2001-Q2,1,Vacant Housing Units For Rent,Vacant Inventory
RENT,0,no,ESTIMATE,3083,no,2001-Q3,1,Vacant Housing Units For Rent,Vacant Inventory
RNTOCC,0,no,ESTIMATE,33430,no,2001-Q2,1,Renter Occupied Units,Occupied Inventory
RNTOCC,0,no,ESTIMATE,33223,no,2001-Q3,1,Renter Occupied Units,Occupied Inventory
RNTOCC,0,no,ESTIMATE,33468,no,2001-Q4,1,Renter Occupied Units,Occupied Inventory
OTH,0,no,ESTIMATE,2546,no,2002-Q4,1,Held off the Market and Vacant for Other Reasons Vacant Housing Units,Vacant Inventory
RNTSLD,0,no,ESTIMATE,821,no,2002-Q4,1,"Rented or Sold, Not Yet Occupied Vacant Housing Units",Vacant Inventory
VACANT,0,no,ESTIMATE,14591,no,2002-Q4,1,Total Vacant Housing Units,Total Housing Units
RVR,0,no,RATE,9.1,no,2002-Q1,1,Rental Vacancy Rate,Rates
E_RVR,0,no,RATE,0.2,yes,2002-Q2,1,Error Rental Vacancy Rate,Error
SAHOR,0,yes,RATE,68.2,no,2002-Q4,1,Seasonal Adjusted Home Owner Rate,Rates
OCC,0,no,ESTIMATE,104719,no,2002-Q1,1,Total Occupied housing Units,Total Housing Units
OCC,0,no,ESTIMATE,105276,no,2002-Q2,1,Total Occupied housing Units,Total Housing Units
OCC,0,no,ESTIMATE,105527,no,2002-Q3,1,Total Occupied housing Units,Total Housing Units
OCC,0,no,ESTIMATE,105759,no,2002-Q4,1,Total Occupied housing Units,Total Housing Units
OCCUSE,0,no,ESTIMATE,1786,no,2002-Q1,1,Held Off the Market and for Occasional Use,Vacant Inventory
OCCUSE,0,no,ESTIMATE,1772,no,2002-Q2,1,Held Off the Market and for Occasional Use,Vacant Inventory
OCCUSE,0,no,ESTIMATE,1793,no,2002-Q3,1,Held Off the Market and for Occasional Use,Vacant Inventory
OCCUSE,0,no,ESTIMATE,1952,no,2002-Q4,1,Held Off the Market and for Occasional Use,Vacant Inventory
OFFMAR,0,no,ESTIMATE,5423,no,2002-Q1,1,Held Off the Market Vacant Housing Units,Vacant Inventory
OFFMAR,0,no,ESTIMATE,5347,no,2002-Q2,1,Held Off the Market Vacant Housing Units,Vacant Inventory
OFFMAR,0,no,ESTIMATE,5265,no,2002-Q3,1,Held Off the Market Vacant Housing Units,Vacant Inventory
OFFMAR,0,no,ESTIMATE,5486,no,2002-Q4,1,Held Off the Market Vacant Housing Units,Vacant Inventory
OTH,0,no,ESTIMATE,2560,no,2002-Q1,1,Held off the Market and Vacant for Other Reasons Vacant Housing Units,Vacant Inventory
OTH,0,no,ESTIMATE,2618,no,2002-Q2,1,Held off the Market and Vacant for Other Reasons Vacant Housing Units,Vacant Inventory
OTH,0,no,ESTIMATE,2501,no,2002-Q3,1,Held off the Market and Vacant for Other Reasons Vacant Housing Units,Vacant Inventory
OWNOCC,0,no,ESTIMATE,71011,no,2002-Q1,1,Owner Occupied Units,Occupied Inventory
OWNOCC,0,no,ESTIMATE,71157,no,2002-Q2,1,Owner Occupied Units,Occupied Inventory
OWNOCC,0,no,ESTIMATE,71713,no,2002-Q3,1,Owner Occupied Units,Occupied Inventory
OWNOCC,0,no,ESTIMATE,72187,no,2002-Q4,1,Owner Occupied Units,Occupied Inventory
RENT,0,no,ESTIMATE,3403,no,2002-Q1,1,Vacant Housing Units For Rent,Vacant Inventory
RENT,0,no,ESTIMATE,3176,no,2002-Q2,1,Vacant Housing Units For Rent,Vacant Inventory
RENT,0,no,ESTIMATE,3375,no,2002-Q3,1,Vacant Housing Units For Rent,Vacant Inventory
RENT,0,no,ESTIMATE,3479,no,2002-Q4,1,Vacant Housing Units For Rent,Vacant Inventory
RNTOCC,0,no,ESTIMATE,33707,no,2002-Q1,1,Renter Occupied Units,Occupied Inventory
RNTOCC,0,no,ESTIMATE,34119,no,2002-Q2,1,Renter Occupied Units,Occupied Inventory
RNTOCC,0,no,ESTIMATE,33813,no,2002-Q3,1,Renter Occupied Units,Occupied Inventory
RNTOCC,0,no,ESTIMATE,33572,no,2002-Q4,1,Renter Occupied Units,Occupied Inventory
RNTSLD,0,no,ESTIMATE,761,no,2002-Q1,1,"Rented or Sold, Not Yet Occupied Vacant Housing Units",Vacant Inventory
RNTSLD,0,no,ESTIMATE,907,no,2002-Q2,1,"Rented or Sold, Not Yet Occupied Vacant Housing Units",Vacant Inventory
RNTSLD,0,no,ESTIMATE,889,no,2002-Q3,1,"Rented or Sold, Not Yet Occupied Vacant Housing Units",Vacant Inventory
SALE,0,no,ESTIMATE,1200,no,2002-Q1,1,Vacant Housing Units For Sale,Vacant Inventory
SALE,0,no,ESTIMATE,1229,no,2002-Q2,1,Vacant Housing Units For Sale,Vacant Inventory
SALE,0,no,ESTIMATE,1218,no,2002-Q3,1,Vacant Housing Units For Sale,Vacant Inventory
SALE,0,no,ESTIMATE,1249,no,2002-Q4,1,Vacant Housing Units For Sale,Vacant Inventory
SEASON,0,no,ESTIMATE,3555,no,2002-Q1,1,Seasonal Vacant Housing Units,Vacant Inventory
SEASON,0,no,ESTIMATE,3548,no,2002-Q2,1,Seasonal Vacant Housing Units,Vacant Inventory
SEASON,0,no,ESTIMATE,3635,no,2002-Q3,1,Seasonal Vacant Housing Units,Vacant Inventory
SEASON,0,no,ESTIMATE,3556,no,2002-Q4,1,Seasonal Vacant Housing Units,Vacant Inventory
TOTAL,0,no,ESTIMATE,119061,no,2002-Q1,1,Total Housing Units,Total Housing Units
TOTAL,0,no,ESTIMATE,119483,no,2002-Q2,1,Total Housing Units,Total Housing Units
TOTAL,0,no,ESTIMATE,119909,no,2002-Q3,1,Total Housing Units,Total Housing Units
TOTAL,0,no,ESTIMATE,120350,no,2002-Q4,1,Total Housing Units,Total Housing Units
URE,0,no,ESTIMATE,1076,no,2002-Q1,1,Vacant Housing Units Held off the Market and Usual Residence Elsewhere,Vacant Inventory
URE,0,no,ESTIMATE,957,no,2002-Q2,1,Vacant Housing Units Held off the Market and Usual Residence Elsewhere,Vacant Inventory
URE,0,no,ESTIMATE,971,no,2002-Q3,1,Vacant Housing Units Held off the Market and Usual Residence Elsewhere,Vacant Inventory
URE,0,no,ESTIMATE,989,no,2002-Q4,1,Vacant Housing Units Held off the Market and Usual Residence Elsewhere,Vacant Inventory
VACANT,0,no,ESTIMATE,14342,no,2002-Q1,1,Total Vacant Housing Units,Total Housing Units
VACANT,0,no,ESTIMATE,14207,no,2002-Q2,1,Total Vacant Housing Units,Total Housing Units
VACANT,0,no,ESTIMATE,14383,no,2002-Q3,1,Total Vacant Housing Units,Total Housing Units
YRVAC,0,no,ESTIMATE,10787,no,2002-Q1,1,Year-Round Vacant Housing Units,Vacant Inventory
YRVAC,0,no,ESTIMATE,10659,no,2002-Q2,1,Year-Round Vacant Housing Units,Vacant Inventory
YRVAC,0,no,ESTIMATE,10747,no,2002-Q3,1,Year-Round Vacant Housing Units,Vacant Inventory
YRVAC,0,no,ESTIMATE,11035,no,2002-Q4,1,Year-Round Vacant Housing Units,Vacant Inventory
HOR,0,no,RATE,67.8,no,2002-Q1,1,Homeownership Rate,Rates
HOR,0,no,RATE,67.6,no,2002-Q2,1,Homeownership Rate,Rates
HOR,0,no,RATE,68.0,no,2002-Q3,1,Homeownership Rate,Rates
HOR,0,no,RATE,68.3,no,2002-Q4,1,Homeownership Rate,Rates
E_HOR,0,no,RATE,0.3,yes,2002-Q1,1,Error Homeownership Rate,Error
E_HOR,0,no,RATE,0.3,yes,2002-Q2,1,Error Homeownership Rate,Error
E_HOR,0,no,RATE,0.3,yes,2002-Q3,1,Error Homeownership Rate,Error
E_HOR,0,no,RATE,0.3,yes,2002-Q4,1,Error Homeownership Rate,Error
HVR,0,no,RATE,1.7,no,2002-Q1,1,Homeowner Vacancy Rate,Rates
HVR,0,no,RATE,1.7,no,2002-Q2,1,Homeowner Vacancy Rate,Rates
HVR,0,no,RATE,1.7,no,2002-Q3,1,Homeowner Vacancy Rate,Rates
HVR,0,no,RATE,1.7,no,2002-Q4,1,Homeowner Vacancy Rate,Rates
E_HVR,0,no,RATE,(z),yes,2002-Q1,1,Error Homeowner Vacancy Rate,Error
E_HVR,0,no,RATE,0.1,yes,2002-Q2,1,Error Homeowner Vacancy Rate,Error
E_HVR,0,no,RATE,(z),yes,2002-Q3,1,Error Homeowner Vacancy Rate,Error
E_HVR,0,no,RATE,0.1,yes,2002-Q4,1,Error Homeowner Vacancy Rate,Error
RVR,0,no,RATE,8.4,no,2002-Q2,1,Rental Vacancy Rate,Rates
RVR,0,no,RATE,9.0,no,2002-Q3,1,Rental Vacancy Rate,Rates
RVR,0,no,RATE,9.3,no,2002-Q4,1,Rental Vacancy Rate,Rates
E_RVR,0,no,RATE,0.2,yes,2002-Q1,1,Error Rental Vacancy Rate,Error
E_RVR,0,no,RATE,0.2,yes,2002-Q3,1,Error Rental Vacancy Rate,Error
E_RVR,0,no,RATE,0.2,yes,2002-Q4,1,Error Rental Vacancy Rate,Error
SAHOR,0,yes,RATE,67.9,no,2002-Q1,1,Seasonal Adjusted Home Owner Rate,Rates
SAHOR,0,yes,RATE,67.8,no,2002-Q2,1,Seasonal Adjusted Home Owner Rate,Rates
SAHOR,0,yes,RATE,67.9,no,2002-Q3,1,Seasonal Adjusted Home Owner Rate,Rates
OWNOCC,0,no,ESTIMATE,72565,no,2003-Q3,1,Owner Occupied Units,Occupied Inventory
